site,Station_Name,YLat,XLong,TP,TP_CAT,SID
16022,Weekeepeemee River,41.5856,-73.2292,2.37E-02,M,Weekeepeemee River_16022
18874,Weekeepeemee River,41.567201,-73.218045,1.63E-02,L,Weekeepeemee River_18874
17181,WEST BRANCH BANTAM RIVER,41.7628,-73.1897,0.032,M,WEST BRANCH BANTAM RIVER_17181
15792,West Branch Farmington River,41.9602,-73.0178,0.008,L,West Branch Farmington River_15792
16239,West Branch Farmington River,41.878,-72.965,0.0085,L,West Branch Farmington River_16239
16258,West Branch Farmington River,41.9735,-73.0209,0.007,L,West Branch Farmington River_16258
18159,West Branch Farmington River,41.94516,-73.01674,0.009,L,West Branch Farmington River_18159
14482,West Branch Naugatuck River,41.8181,-73.1441,0.013,L,West Branch Naugatuck River_14482
14484,West Branch Salmon Brook,41.9372,-72.8215,9.14E-03,L,West Branch Salmon Brook_14484
15703,West Branch Salmon Brook,41.9592,-72.8469,0.00775,L,West Branch Salmon Brook_15703
15022,West Branch Saugatuck River,41.2433,-73.4094,8.18E-02,H,West Branch Saugatuck River_15022
14706,Whitford Brook,41.3928,-71.9604,3.73E-02,M,Whitford Brook_14706
16125,Whiting Brook,41.973,-73.3178,0.008,L,Whiting Brook_16125
14581,Willimantic River,41.9423,-72.3058,0.081375,H,Willimantic River_14581
17201,Willys Meadow Brook,41.3811,-72.1878,0.036,M,Willys Meadow Brook_17201
15024,Wood Creek,41.6387,-73.2362,0.0295,M,Wood Creek_15024
14735,Yantic River,41.5583,-72.112,3.26E-02,M,Yantic River_14735
